label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score,is_in_roi,roi_region
1,557,2129,296.31705237,19.42376350908454,5992.0,16.064343163538872,13.370967741935484,1.1033730742975836,0.9183796457509904,2.3631706357917683,True,True,90,PV+/PNN+,212.10898923,16.4336713147562,296.31705237,19.42376350908454,0.3004484176635742,False,NONE
2,541,2266,296.31705237,19.42376350908454,8410.0,22.54691689008043,19.766129032258064,1.5486260939323564,1.3576287766801431,2.4878246026210564,True,True,84,PV+/PNN+,221.64197751,16.798908611544785,296.31705237,19.42376350908454,-0.18585336208343506,False,NONE
3,569,2257,296.31705237,19.42376350908454,8673.0,23.25201072386059,19.903225806451612,1.5970551858115727,1.3670452145436938,2.8527366835030468,True,True,98,PV+/PNN+,197.01509112,15.83816292767521,296.31705237,19.42376350908454,-0.01053236797451973,False,NONE
4,393,2508,296.31705237,19.42376350908454,9901.0,26.544235924932977,18.241935483870968,1.8231803752704234,1.2529401439618457,2.3485741525564894,True,True,28,PV+/PNN+,154.11664386,14.008119269352957,296.31705237,19.42376350908454,1.5359348058700562,False,NONE
5,573,2576,296.31705237,19.42376350908454,29263.0,78.45308310991958,65.61290322580645,5.388519070956307,4.506596379873376,2.8506931758501075,True,True,103,PV+/PNN+,127.1065104,12.721518597815718,296.31705237,19.42376350908454,1.9929255247116089,True,B
6,545,2619,296.31705237,19.42376350908454,24905.0,66.76943699731903,50.11290322580645,4.586032445824653,3.4419849931825417,2.0169420534509364,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.9242787957191467,True,B
7,443,2768,296.31705237,19.42376350908454,9084.0,24.353887399463808,27.338709677419356,1.6727371506874584,1.877748491613907,2.716405530085535,True,True,45,PV+/PNN+,336.83225256000003,20.7091318963788,296.31705237,19.42376350908454,1.4352405071258545,True,B
8,487,2585,296.31705237,19.42376350908454,10308.0,27.635388739946382,25.18548387096774,1.898125776011264,1.7298550263452008,2.093135695939096,True,True,63,PV+/PNN+,195.42625974,15.774170088491289,296.31705237,19.42376350908454,0.4811796247959137,True,B
9,407,2818,296.31705237,19.42376350908454,10543.0,28.265415549597854,25.798387096774192,1.9413989189451644,1.771952042676368,2.2411440359448314,True,True,35,PV+/PNN+,270.10133460000003,18.544640743310826,296.31705237,19.42376350908454,1.0134670734405518,False,NONE
10,503,2857,296.31705237,19.42376350908454,19994.0,53.603217158176946,42.12903225806452,3.6817158290230125,2.8936159646581268,2.005848726192124,True,True,72,PV+/PNN+,208.93132647000002,16.3101081233564,296.31705237,19.42376350908454,0.6105440855026245,True,B
