label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,skel_total_length_um,skel_branches_count,skel_avg_branch_len_um,skel_endpoints_count,skel_junctions_count,skel_tortuosity_mean,skel_ramification_index,skel_mean_thickness_um,skel_max_thickness_um,skel_mean_intensity,skel_neighborhood_wfa_sum,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um
1,64.74107142857143,1202.8660714285713,47.32000000000001,7.762067717874401,11415.0,True,True,8,33.33477631085023,3,11.111592103616744,0,2,17.09475708248729,1.5,1.9528779599132022,3.6769552621700474,54.142857142857146,9580.0,PV+/PNN+,47.32000000000001,7.762067717874401,99.71000000000001,11.267418293714986
2,130.26618705035972,1112.705035971223,58.727500000000006,8.647206217237697,635.0,True,True,17,0.0,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,PV+/PNN+,58.727500000000006,8.647206217237697,12.675,4.017251701041172
3,156.80357142857142,1181.9107142857142,70.98,9.506552628860888,19081.0,True,True,23,36.919343417595144,1,36.919343417595144,2,0,25.401280481969895,1.0,1.8376798451430676,2.906888370749727,56.38461538461539,14182.0,PV+/PNN+,70.98,9.506552628860888,135.6225,13.14077357524452
4,158.38251366120218,1029.3715846994535,77.31750000000001,9.92187978661609,49401.0,True,True,24,80.74650788387052,11,7.340591625806411,4,6,1.2010868443645994,1.8333333333333333,2.0120092075934086,3.6769552621700474,54.36190476190476,27051.0,PV+/PNN+,77.31750000000001,9.92187978661609,238.29000000000002,17.418388304172748
5,166.33333333333334,830.3333333333334,39.292500000000004,7.073101498742004,2574.0,True,False,-1,0.0,0,0.0,0,0,1.0,0.0,1.5692388155425119,1.8384776310850237,60.5,732.0,PV-/PNN+,0.0,0.0,39.292500000000004,7.073101498742004
6,177.125748502994,819.443113772455,70.5575,9.47821708854842,6945.0,True,True,25,7.576955262170047,2,3.7884776310850237,4,0,1.1433879543600907,2.0,1.4980796051808374,2.6,47.0,2878.0,PV+/PNN+,70.5575,9.47821708854842,94.21750000000002,10.952691304245054
7,192.78365384615384,904.6586538461538,175.76000000000002,14.959431218554139,31495.0,True,False,-1,418.87852429295987,103,4.066781789252038,26,60,1.1498345386156847,1.7166666666666666,3.739555102402959,11.627553482998907,53.763302752293576,119188.0,PV-/PNN+,0.0,0.0,175.76000000000002,14.959431218554139
8,193.92592592592592,820.3827160493827,136.89000000000001,13.202036255017498,7969.0,True,False,-1,29.973253941935262,5,5.994650788387053,4,2,1.06710750608169,2.5,3.39494607867289,7.000714249274855,56.63157894736842,9850.0,PV-/PNN+,0.0,0.0,136.89000000000001,13.202036255017498
9,194.31884057971016,718.427536231884,58.30500000000001,8.616045012404687,14506.0,True,True,29,39.07325394193526,7,5.581893420276466,5,3,1.306622652046343,2.3333333333333335,1.9200296043962244,2.906888370749727,58.0,12313.0,PV+/PNN+,58.30500000000001,8.616045012404687,110.69500000000001,11.87186806717708
10,208.0625,1213.9107142857142,47.32000000000001,7.762067717874401,10371.0,True,True,31,34.4770598642227,2,17.23852993211135,1,1,1.082311745970046,2.0,2.0208554771182503,3.9000000000000004,56.58695652173913,10339.0,PV+/PNN+,47.32000000000001,7.762067717874401,99.28750000000001,11.24352130330585
