label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
1,555.0,486.0,47.74250000000001,7.800000000000001,10064.0,89.06194690265487,76.68217054263566,0.0013589981979500246,0.001170094919396287,0.00025271683455876996,True,True,1,PV+/PNN+,75.20500000000001,9.785396259825553,47.74250000000001,7.800000000000001,0.9435886740684509
2,895.5,847.5,47.32000000000001,7.800000000000001,15784.0,140.92857142857142,68.21501706484642,0.002150432157298717,0.0010408944390760116,0.00019378206132848955,True,True,2,PV+/PNN+,85.76750000000001,10.450003476223014,47.32000000000001,7.800000000000001,0.9807850122451782
3,720.0,547.5,45.63,7.800000000000001,12209.0,113.04629629629629,53.18354430379747,0.0017249759105256166,0.0008115288670755698,0.0001918030261807388,True,True,3,PV+/PNN+,111.9625,11.93964331659077,45.63,7.800000000000001,0.9538679122924805
4,446.0,220.0,47.74250000000001,7.800000000000001,13614.0,120.47787610619469,105.09904153354633,0.0018383745495719034,0.0016037085760821901,0.00023046621810641037,True,True,4,PV+/PNN+,93.79500000000002,10.928106107575758,47.74250000000001,7.800000000000001,0.9591949582099915
5,491.5,559.5,47.32000000000001,7.800000000000001,19748.0,176.32142857142858,114.30699088145897,0.0026904925394282226,0.0017442128768056606,0.0002182669369243947,True,True,5,PV+/PNN+,81.965,10.215727056074748,47.32000000000001,7.800000000000001,0.9422808289527893
6,436.5,1141.0,45.63,7.800000000000001,7265.0,67.26851851851852,41.3758865248227,0.0010264517970324028,0.0006313555584774959,0.0002487545229201872,True,True,6,PV+/PNN+,99.28750000000001,11.24352130330585,45.63,7.800000000000001,0.9714146852493286
7,362.0,293.0,47.74250000000001,7.800000000000001,11405.0,100.929203539823,68.01941747572816,0.0015400809268302893,0.0010379097806626713,0.00024196449007618612,True,True,7,PV+/PNN+,97.59750000000001,11.147421067999991,47.74250000000001,7.800000000000001,0.9510158896446228
8,729.0,489.5,45.63,7.800000000000001,5730.0,53.05555555555556,41.16537467700258,0.0008095758839636157,0.0006281433535820948,0.00019748270367753485,True,True,8,PV+/PNN+,87.45750000000001,10.552456940621719,45.63,7.800000000000001,0.9583691358566284
9,766.0,248.5,45.63,7.800000000000001,7966.0,73.75925925925925,58.80213903743316,0.0011254941521211452,0.00089726312714478,0.00023296018088876866,True,True,9,PV+/PNN+,74.36000000000001,9.730266828124844,45.63,7.800000000000001,0.9572620391845703
10,795.0,635.0,47.74250000000001,7.800000000000001,9481.0,83.90265486725664,46.02023121387283,0.0012802724478104318,0.0007022237157835177,0.0002341928143275581,True,True,10,PV+/PNN+,126.32750000000001,12.682474860512489,47.74250000000001,7.800000000000001,0.9847186207771301
