label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score,is_in_roi,roi_region
1,282,234,296.31705237,19.42376350908454,8897.0,23.85254691689008,18.18548387096774,1.4550661593631047,1.1093608688618288,0.875145546873567,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.5026389360427856,False,NONE
2,555,310,296.31705237,19.42376350908454,32682.0,87.61930294906166,59.88709677419355,5.345000811543777,3.6532655486332337,3.9546456827369867,True,True,38,PV+/PNN+,201.78158526,16.02860860313152,296.31705237,19.42376350908454,1.5647035837173462,False,NONE
3,566,36,296.31705237,19.42376350908454,26281.0,70.45844504021447,46.46774193548387,4.298144738026497,2.834650699060691,3.048224628990095,True,True,40,PV+/PNN+,185.09885577,15.351715957885435,296.31705237,19.42376350908454,2.026995897293091,False,NONE
4,506,112,296.31705237,19.42376350908454,17942.0,48.101876675603215,41.41129032258065,2.934337083431811,2.526194262352768,2.9640650832218767,True,True,25,PV+/PNN+,240.70795407,17.506538374396555,296.31705237,19.42376350908454,1.3604191541671753,False,NONE
5,491,164,296.31705237,19.42376350908454,25505.0,68.37801608579089,46.17741935483871,4.171233269029559,2.8169402816420543,3.077509876335117,True,True,20,PV+/PNN+,211.31457354,16.40286778005525,296.31705237,19.42376350908454,1.4938291311264038,False,NONE
6,522,181,296.31705237,19.42376350908454,35864.0,96.15013404825737,68.87903225806451,5.865403252714216,4.201796532571565,2.994203298936171,True,True,30,PV+/PNN+,227.99730303,17.038051012682235,296.31705237,19.42376350908454,2.512535333633423,False,NONE
7,434,464,296.31705237,19.42376350908454,10560.0,28.31099195710456,22.35483870967742,1.7270426708861848,1.3637021412350288,3.3945297869147226,True,True,5,PV+/PNN+,280.42873857,18.895845030787132,296.31705237,19.42376350908454,0.8505426645278931,False,NONE
8,479,258,296.31705237,19.42376350908454,18228.0,48.8686327077748,39.66129032258065,2.981111155768312,2.419439801801541,2.953260817211092,True,True,17,PV+/PNN+,239.11912269,17.448665361891926,296.31705237,19.42376350908454,0.9660074710845947,False,NONE
9,529,414,296.31705237,19.42376350908454,15877.0,42.5656836461126,29.580645161290324,2.5966151975056775,1.8044947525433208,3.3376652289632243,True,True,31,PV+/PNN+,195.42625974,15.774170088491289,296.31705237,19.42376350908454,1.3379148244857788,False,NONE
10,561,188,296.31705237,19.42376350908454,16588.0,44.47184986595174,30.93548387096774,2.712896195517048,1.8871433671636255,2.9327895763485525,True,True,39,PV+/PNN+,158.883138,14.223090180871878,296.31705237,19.42376350908454,0.483817458152771,False,NONE
11,464,363,296.31705237,19.42376350908454,11321.0,30.351206434316353,22.919354838709676,1.8515009542710696,1.398139063993489,3.0894514335049315,True,True,10,PV+/PNN+,152.52781248,13.935725403490322,296.31705237,19.42376350908454,0.45706796646118164,False,NONE
12,445,282,296.31705237,19.42376350908454,13094.0,35.10455764075067,27.475806451612904,2.141467493615881,1.6760942262582046,3.894653574098155,True,True,6,PV+/PNN+,224.81964027,16.91890234101781,296.31705237,19.42376350908454,0.05705563351511955,False,NONE
13,557,1038,296.31705237,19.42376350908454,8596.0,23.0455764075067,21.330645161290324,1.4058389014145494,1.3012237242303937,3.2660158859443356,True,True,37,PV+/PNN+,227.99730303,17.038051012682235,296.31705237,19.42376350908454,0.7737548351287842,False,NONE
