label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,skel_total_length_um,skel_branches_count,skel_avg_branch_len_um,skel_endpoints_count,skel_junctions_count,skel_tortuosity_mean,skel_ramification_index,skel_mean_thickness_um,skel_max_thickness_um,skel_mean_intensity,skel_neighborhood_wfa_sum,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um
1,210.2360248447205,306.82608695652175,68.02250000000001,9.306392261867519,9893.0,True,True,30,34.85782104868018,5,6.9715642097360355,1,3,1.6597773307079966,1.6666666666666667,1.6070115319154372,2.906888370749727,56.47826086956522,9807.0,PV+/PNN+,68.02250000000001,9.306392261867519,91.6825,10.804341005363613
2,219.30555555555554,685.6388888888889,15.21,4.4006787516724994,3414.0,True,True,32,6.657716446627536,2,3.328858223313768,1,1,1.0,2.0,1.3,1.3,45.77777777777778,1827.0,PV+/PNN+,15.21,4.4006787516724994,44.785000000000004,7.5512934660867375
3,226.77631578947367,860.828947368421,64.22000000000001,9.042535239792663,20380.0,True,True,33,44.22705986422271,3,14.742353288074236,3,1,1.2362526235206743,3.0,1.8262809490138683,2.906888370749727,59.12903225806452,16579.0,PV+/PNN+,64.22000000000001,9.042535239792663,149.56500000000003,13.799712769051196
4,233.0327868852459,808.1967213114754,103.09,11.456799931339813,10887.0,True,True,35,36.204015126392754,6,6.034002521065459,6,2,1.1818803849417492,3.0,1.9511394464371747,3.6769552621700474,55.52,11182.0,PV+/PNN+,103.09,11.456799931339813,110.69500000000001,11.87186806717708
5,236.98918918918918,547.8486486486487,78.16250000000001,9.9759503765487,11093.0,True,True,36,38.107821048680194,5,7.6215642097360385,4,2,1.2997933177786376,2.5,2.6816098211972887,7.353910524340095,63.9622641509434,13771.0,PV+/PNN+,78.16250000000001,9.9759503765487,87.88000000000001,10.57791525733337
6,236.34931506849315,340.6849315068493,61.68500000000001,8.86226727857993,14468.0,True,True,37,40.97705986422271,7,5.853865694888959,2,4,1.2062007548012386,1.75,2.0433982805534256,2.906888370749727,59.18181818181818,13221.0,PV+/PNN+,61.68500000000001,8.86226727857993,119.99000000000001,12.360259421742418
7,235.98540145985402,326.7445255474453,57.88250000000001,8.584770698634475,4519.0,True,False,-1,1.9500000000000002,1,1.9500000000000002,2,0,1.0000000000000002,1.0,1.434619407771256,1.8384776310850237,53.5,1137.0,PV-/PNN+,0.0,0.0,57.88250000000001,8.584770698634475
8,247.2277777777778,790.25,76.05000000000001,9.840216835878625,5612.0,True,True,40,11.476955262170048,3,3.8256517540566826,6,0,1.0572388619462554,3.0,1.4750931077223834,2.6,45.476190476190474,5533.0,PV+/PNN+,76.05000000000001,9.840216835878625,74.78250000000001,9.75787047742269
9,241.81896551724137,304.0086206896552,49.010000000000005,7.8994601136704485,4670.0,True,True,38,4.707716446627535,1,4.707716446627535,2,0,1.3449246116894908,1.0,1.3,1.3,49.857142857142854,1545.0,PV+/PNN+,49.010000000000005,7.8994601136704485,59.995000000000005,8.740023254338977
10,251.67741935483872,560.8645161290323,65.48750000000001,9.131334770220834,28546.0,True,True,43,63.43868683519034,12,5.286557236265861,6,6,1.08418376552685,2.0,2.528554254397633,6.5,58.54651162790697,23487.0,PV+/PNN+,65.48750000000001,9.131334770220834,165.19750000000002,14.50296485865518
11,256.3836206896552,469.21120689655174,98.02000000000001,11.17152362817806,5305.0,True,False,-1,9.953910524340095,1,9.953910524340095,2,0,1.0618146386653509,1.0,3.5,9.1,66.0,4380.0,PV-/PNN+,0.0,0.0,98.02000000000001,11.17152362817806
12,266.49668874172187,157.71523178807948,63.79750000000001,9.01274097349089,10072.0,True,True,49,86.45792565073286,24,3.602413568780536,11,12,1.0615533995635635,2.0,3.2832170217533547,7.580237463298891,57.025,28668.0,PV+/PNN+,63.79750000000001,9.01274097349089,73.515,9.6748232609803
13,273.54358974358973,250.62307692307692,164.775,14.484406994548879,53559.0,True,False,-1,269.42007563196375,90,2.9935563959107085,25,51,1.1136923865213906,1.7647058823529411,3.7985750572369748,14.3,63.57660167130919,92235.0,PV-/PNN+,0.0,0.0,164.775,14.484406994548879
14,279.99468085106383,278.1329787234043,79.43,10.056511176263564,13913.0,True,True,51,111.45422433049806,29,3.843249114844761,13,15,1.1009224100518664,1.9333333333333333,3.5303018522593534,8.324061508662703,59.688741721854306,36314.0,PV+/PNN+,79.43,10.056511176263564,74.78250000000001,9.75787047742269
15,262.8238636363636,488.3806818181818,74.36000000000001,9.730266828124844,9526.0,True,True,46,66.01955262170048,16,4.12622203885628,8,8,1.1212859973248501,2.0,4.451884024732236,11.10720486891279,71.72941176470589,25161.0,PV+/PNN+,74.36000000000001,9.730266828124844,85.76750000000001,10.450003476223014
16,279.99468085106383,278.1329787234043,79.43,10.056511176263564,19633.0,True,True,51,32.861626970967635,7,4.694518138709662,8,2,1.0667309510735032,3.5,6.3179996271140615,14.3,90.71428571428571,22647.0,PV+/PNN+,79.43,10.056511176263564,100.13250000000001,11.291264708312957
17,279.1578947368421,135.3684210526316,8.027500000000002,3.1970189935878577,1287.0,True,False,-1,1.5692388155425119,1,1.5692388155425119,2,0,1.0796691275336339,1.0,1.479492543695008,1.8384776310850237,50.333333333333336,965.0,PV-/PNN+,0.0,0.0,8.027500000000002,3.1970189935878577
18,294.624,340.568,52.81250000000001,8.200180696565521,40058.0,True,True,57,122.83879143724296,31,3.9625416592659017,14,16,1.0869072522783576,1.9375,3.232801279171737,8.720665112249181,52.888888888888886,40531.0,PV+/PNN+,52.81250000000001,8.200180696565521,203.645,16.1024491021581
19,299.85955056179773,516.8033707865169,75.20500000000001,9.785396259825553,10869.0,True,True,58,42.434776310850246,13,3.264213562373096,5,7,1.1018332954150236,1.8571428571428572,2.398091049998381,4.687216658103186,54.732142857142854,12939.0,PV+/PNN+,75.20500000000001,9.785396259825553,84.07750000000001,10.346535546861599
20,314.6,422.3076923076923,27.462500000000002,5.913234393907399,20980.0,True,True,66,63.800313806157966,17,3.752959635656351,10,8,1.0751062269774687,2.125,3.468904614296344,15.654072952429985,59.903614457831324,22856.0,PV+/PNN+,27.462500000000002,5.913234393907399,120.41250000000001,12.382001319674572
21,309.7142857142857,119.36190476190477,44.362500000000004,7.51558975086544,16899.0,True,True,63,43.734776310850236,9,4.859419590094471,6,4,1.1757972412341529,2.25,1.9843390891173691,4.687216658103186,51.96666666666667,14563.0,PV+/PNN+,44.362500000000004,7.51558975086544,113.23000000000002,12.007036006040893
22,308.12,165.12,42.25000000000001,7.3344645861208315,8956.0,True,True,62,132.39280656363573,39,3.3946873477855317,12,22,1.2017683028614976,1.7727272727272727,2.585522614207564,7.580237463298891,55.8150289017341,38190.0,PV+/PNN+,42.25000000000001,7.3344645861208315,59.150000000000006,8.67825553156191
23,317.95569620253167,643.4367088607595,66.75500000000001,9.219279028687428,58630.0,True,True,68,222.41616510762367,55,4.043930274684067,17,31,1.148447174262704,1.7741935483870968,2.8256995444558117,7.580237463298891,56.21016949152543,68379.0,PV+/PNN+,66.75500000000001,9.219279028687428,265.75250000000005,18.394743600067695
24,310.5111111111111,390.9611111111111,76.05000000000001,9.840216835878625,14719.0,True,False,-1,183.83519471906087,41,4.483785237050265,12,23,1.147582116261076,1.7826086956521738,4.615100556893491,11.627553482998907,63.29959514170041,63565.0,PV-/PNN+,0.0,0.0,76.05000000000001,9.840216835878625
25,315.00735294117646,1153.8382352941176,57.46000000000001,8.553382035223404,11617.0,True,True,65,35.507821048680185,2,17.753910524340093,1,1,1.0796691275336339,2.0,2.3050169990578855,3.6769552621700474,58.125,11274.0,PV+/PNN+,57.46000000000001,8.553382035223404,105.20250000000001,11.573589901365995
26,323.8835616438356,424.76027397260276,61.68500000000001,8.86226727857993,32861.0,True,True,69,258.99301576774104,69,3.753521967648421,19,39,1.157246731111614,1.7692307692307692,5.009530534156855,16.94992625352689,59.97435897435897,88699.0,PV+/PNN+,61.68500000000001,8.86226727857993,130.13000000000002,12.8719331087598
27,299.85955056179773,516.8033707865169,75.20500000000001,9.785396259825553,5371.0,True,True,58,93.54259735953043,40,2.338564933988261,14,22,1.2142392715848929,1.8181818181818181,2.2757655808599164,5.813776741499454,50.144,24733.0,PV+/PNN+,75.20500000000001,9.785396259825553,65.06500000000001,9.101831188183693
28,313.0919540229885,4.448275862068965,36.7575,6.8411331346205175,5362.0,True,False,-1,27.43858223313768,5,5.487716446627536,1,3,2.090568777150989,1.6666666666666667,4.1237840351596535,9.1,62.714285714285715,8162.0,PV-/PNN+,0.0,0.0,36.7575,6.8411331346205175
29,324.8562091503268,745.7058823529412,64.64250000000001,9.072231658778492,5265.0,True,False,-1,9.907716446627536,5,1.9815432893255072,4,2,1.1311343820829942,2.5,1.5092318420723352,2.6,46.86666666666667,2753.0,PV-/PNN+,0.0,0.0,64.64250000000001,9.072231658778492
30,326.39676113360326,760.2834008097166,104.35750000000002,11.5270159100133,6331.0,True,False,-1,3.25,1,3.25,2,0,1.0,1.0,2.5242276669724584,2.906888370749727,47.333333333333336,1647.0,PV-/PNN+,0.0,0.0,104.35750000000002,11.5270159100133
