label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
1,289.5,247.5,47.32000000000001,7.762067717874401,11760.0,True,True,72,PV+/PNN+,59.995000000000005,8.740023254338977,47.32000000000001,7.762067717874401,0.9551340341567993
2,305.0,371.0,47.74250000000001,7.796642800880295,14958.0,True,True,79,PV+/PNN+,54.925000000000004,8.362576277354894,47.74250000000001,7.796642800880295,0.9201162457466125
3,236.5,133.0,45.63,7.622199185685551,6999.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9461073875427246
4,354.0,316.5,45.63,7.622199185685551,17700.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.966265082359314
5,215.0,384.5,45.63,7.622199185685551,12255.0,True,True,49,PV+/PNN+,92.5275,10.854016398342266,45.63,7.622199185685551,0.9151281118392944
6,292.0,443.0,47.74250000000001,7.796642800880295,15870.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9355131387710571
7,477.0,333.5,45.63,7.622199185685551,22845.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9312986135482788
8,214.5,432.5,47.32000000000001,7.762067717874401,9835.0,True,True,48,PV+/PNN+,86.19000000000001,10.475710780692815,47.32000000000001,7.762067717874401,0.9869758486747742
9,411.0,193.0,47.74250000000001,7.796642800880295,25601.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.8785797357559204
10,449.5,61.0,45.63,7.622199185685551,22392.0,True,True,111,PV+/PNN+,54.925000000000004,8.362576277354894,45.63,7.622199185685551,0.9534968733787537
11,446.0,330.0,47.74250000000001,7.796642800880295,15779.0,True,True,109,PV+/PNN+,78.58500000000001,10.002876067562408,47.74250000000001,7.796642800880295,0.9388967752456665
12,403.0,491.0,47.74250000000001,7.796642800880295,18997.0,True,True,97,PV+/PNN+,70.5575,9.47821708854842,47.74250000000001,7.796642800880295,0.9306256175041199
13,345.0,47.5,45.63,7.622199185685551,6993.0,True,True,83,PV+/PNN+,90.415,10.72939669493256,45.63,7.622199185685551,0.9549898505210876
14,382.5,451.5,47.32000000000001,7.762067717874401,21276.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9615123867988586
15,326.0,319.5,45.63,7.622199185685551,15627.0,True,True,82,PV+/PNN+,79.43,10.056511176263564,45.63,7.622199185685551,0.9484418630599976
16,487.5,153.0,45.63,7.622199185685551,12815.0,True,True,127,PV+/PNN+,68.02250000000001,9.306392261867519,45.63,7.622199185685551,0.9663074612617493
17,370.0,172.0,47.74250000000001,7.796642800880295,20603.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9610601663589478
18,434.0,141.5,45.63,7.622199185685551,24002.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.7295122146606445
19,428.0,353.0,47.74250000000001,7.796642800880295,16710.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9118650555610657
20,434.5,238.5,47.32000000000001,7.762067717874401,15134.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9059626460075378
21,365.5,495.0,45.63,7.622199185685551,16219.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.7162079215049744
22,410.0,112.0,47.74250000000001,7.796642800880295,22155.0,True,True,98,PV+/PNN+,72.67,9.619060126431496,47.74250000000001,7.796642800880295,0.7947275042533875
23,356.5,219.0,45.63,7.622199185685551,6541.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.8449226021766663
24,292.5,394.0,45.63,7.622199185685551,6964.0,True,True,74,PV+/PNN+,79.00750000000001,10.029729474450614,45.63,7.622199185685551,0.5796754956245422
25,392.0,68.0,47.74250000000001,7.796642800880295,6622.0,True,True,95,PV+/PNN+,85.76750000000001,10.450003476223014,47.74250000000001,7.796642800880295,0.8841094970703125
26,351.5,155.0,45.63,7.622199185685551,6654.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.6603841781616211
27,278.0,330.5,45.63,7.622199185685551,5597.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.7615103721618652
28,462.0,287.5,45.63,7.622199185685551,8323.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.7037230730056763
29,464.0,469.5,45.63,7.622199185685551,3658.0,True,True,117,PV+/PNN+,75.62750000000001,9.812844830601293,45.63,7.622199185685551,0.7332408428192139
30,78.0,407.5,45.63,7.622199185685551,1642.0,True,True,14,PV+/PNN+,77.74000000000001,9.948951814523555,45.63,7.622199185685551,0.562014102935791
