label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score,is_in_roi,roi_region
1,522,175,296.31705237,19.42376350908454,44697.0,119.83109919571045,74.65322580645162,9.810942518903005,6.112090368474242,3.2355993456375383,True,True,5,PV+/PNN+,123.13443195,12.521167201073585,296.31705237,19.42376350908454,2.080678701400757,False,NONE
2,487,254,296.31705237,19.42376350908454,20255.0,54.3029490616622,32.20161290322581,4.445950303608305,2.6364455915866527,4.0567383817725124,True,True,1,PV+/PNN+,153.32222817,13.97196922387648,296.31705237,19.42376350908454,0.9196643829345703,False,NONE
3,475,60,296.31705237,19.42376350908454,7583.0,20.32975871313673,28.70967741935484,1.6644601901881892,2.350550039080512,1.3121905645192127,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.9762188196182251,False,NONE
4,738,221,296.31705237,19.42376350908454,56938.0,152.64879356568363,133.45967741935485,12.497828604633405,10.926756347399829,3.626511967176049,True,True,64,PV+/PNN+,194.63184405,15.742076118135982,296.31705237,19.42376350908454,2.934544324874878,False,NONE
5,772,400,296.31705237,19.42376350908454,52165.0,139.85254691689008,102.2741935483871,11.45016033511366,8.373504380791868,2.9277649282969658,True,True,73,PV+/PNN+,125.51767902,12.64175907426016,296.31705237,19.42376350908454,2.5583455562591553,False,NONE
6,902,447,296.31705237,19.42376350908454,18213.0,48.828418230563,34.854838709677416,3.997733541328958,2.8536733901421267,3.4299430018862855,True,True,133,PV+/PNN+,166.03287921,14.539588286344586,296.31705237,19.42376350908454,2.05460262298584,False,NONE
7,940,150,296.31705237,19.42376350908454,61884.0,165.9088471849866,149.43548387096774,13.583470184571528,12.234745006787046,10.389967912504584,True,True,153,PV+/PNN+,279.63432288,18.869061395736058,296.31705237,19.42376350908454,2.674222707748413,False,NONE
8,1059,110,296.31705237,19.42376350908454,36893.0,98.9088471849866,108.01612903225806,8.09797307089712,8.843614388607971,1.5658757951950582,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.5771079063415527,False,NONE
9,949,26,296.31705237,19.42376350908454,34973.0,93.76139410187668,92.93548387096774,7.676535174924376,7.608915351225792,1.3967523080778277,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,2.034775733947754,False,NONE
10,746,43,296.31705237,19.42376350908454,31578.0,84.65951742627345,71.87096774193549,6.931336395326736,5.884298300080203,1.7861813902556607,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,2.0851387977600098,False,NONE
11,1106,72,296.31705237,19.42376350908454,36138.0,96.88471849865952,78.54838709677419,7.932251398262005,6.430999264225894,1.4190053984879898,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.6977330446243286,False,NONE
12,699,458,296.31705237,19.42376350908454,15118.0,40.53083109919571,34.12903225806452,3.3183844329770595,2.794249372300204,3.5182135938465944,True,True,49,PV+/PNN+,194.63184405,15.742076118135982,296.31705237,19.42376350908454,1.50861394405365,False,NONE
13,889,218,296.31705237,19.42376350908454,37018.0,99.24396782841823,90.78225806451613,8.12541043391618,7.432624098294753,1.9211834720773096,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.6199980974197388,False,NONE
14,1014,391,296.31705237,19.42376350908454,11968.0,32.0857908847185,20.903225806451612,2.626962884896775,1.7114117138473839,1.2417224448870332,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.40482667088508606,False,NONE
15,790,364,296.31705237,19.42376350908454,23661.0,63.4343163538874,50.653225806451616,5.193563571151621,4.147136178501319,5.06257806831183,True,True,83,PV+/PNN+,186.68768715,15.417462365594622,296.31705237,19.42376350908454,1.5023337602615356,False,NONE
