label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score,is_in_roi,roi_region
1,574,502,296.31705237,19.42376350908454,67105.0,179.90616621983915,143.8548387096774,5.755978962840036,4.602540550521382,1.9033516082106343,True,True,168,PV+/PNN+,162.85521645,14.399781305649903,296.31705237,19.42376350908454,2.005810499191284,False,NONE
2,566,420,296.31705237,19.42376350908454,57208.0,153.37265415549598,124.25,4.907056769333921,3.975296684711455,2.3148577459812167,True,True,163,PV+/PNN+,187.48210284,15.45023065413564,296.31705237,19.42376350908454,2.704537868499756,False,NONE
3,321,268,296.31705237,19.42376350908454,34624.0,92.82573726541555,64.19354838709677,2.969898153779501,2.0538301817552527,1.8751216356986684,True,True,31,PV+/PNN+,81.82481607,10.206987389088184,296.31705237,19.42376350908454,1.0451027154922485,False,NONE
4,364,219,296.31705237,19.42376350908454,52580.0,140.96514745308312,104.80645161290323,4.510086787365012,3.3532131962426215,2.054001942288915,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,2.300487995147705,False,NONE
5,542,342,296.31705237,19.42376350908454,49959.0,133.93833780160858,102.70161290322581,4.28526865367,3.28587027194135,2.264640967955123,True,True,145,PV+/PNN+,154.91105955,14.044176264056347,296.31705237,19.42376350908454,1.512946367263794,False,NONE
6,486,90,296.31705237,19.42376350908454,38036.0,101.97319034852546,66.12096774193549,3.2625648734160433,2.1154966909813213,1.949768197629348,True,True,107,PV+/PNN+,135.05066730000001,13.113041224263421,296.31705237,19.42376350908454,1.5796842575073242,False,NONE
7,384,447,296.31705237,19.42376350908454,29195.0,78.27077747989276,52.354838709677416,2.5042218287775104,1.6750584849189825,2.167736158466932,True,True,53,PV+/PNN+,135.05066730000001,13.113041224263421,296.31705237,19.42376350908454,1.5575603246688843,False,NONE
8,404,259,296.31705237,19.42376350908454,32646.0,87.52278820375335,67.2741935483871,2.8002338010710948,2.1523933889701405,2.0097568892172757,True,True,61,PV+/PNN+,158.08872231,14.187487896796528,296.31705237,19.42376350908454,1.1653000116348267,False,NONE
9,480,420,296.31705237,19.42376350908454,31678.0,84.92761394101876,69.2741935483871,2.7172029146091443,2.2163820679997013,2.011656983520966,True,True,105,PV+/PNN+,140.61157713,13.380292240810528,296.31705237,19.42376350908454,1.726829171180725,False,NONE
10,442,213,296.31705237,19.42376350908454,32273.0,86.52278820375335,68.62903225806451,2.7682394615563144,2.1957405586353267,3.0577946187240155,True,True,79,PV+/PNN+,195.42625974,15.774170088491289,296.31705237,19.42376350908454,1.061305284500122,False,NONE
11,456,317,296.31705237,19.42376350908454,39139.0,104.93029490616622,76.14516129032258,3.3571754806139062,2.4362141427302886,2.534454359079106,True,True,96,PV+/PNN+,158.883138,14.223090180871878,296.31705237,19.42376350908454,2.075148344039917,False,NONE
12,525,100,296.31705237,19.42376350908454,35552.0,95.31367292225201,64.63709677419355,3.0494980118752544,2.0680212194432603,2.000799301785594,True,True,137,PV+/PNN+,84.20806314000001,10.3545659481894,296.31705237,19.42376350908454,1.1387826204299927,False,NONE
13,368,479,296.31705237,19.42376350908454,17991.0,48.23324396782842,36.17741935483871,1.5431907834059324,1.1574726376072946,1.8745787516119,True,True,44,PV+/PNN+,160.47196938,14.29402872657482,296.31705237,19.42376350908454,-0.5944491624832153,False,NONE
14,456,443,296.31705237,19.42376350908454,29612.0,79.3887399463807,71.25,2.539990299495107,2.2795966904280975,3.0176211963031405,True,True,93,PV+/PNN+,215.28665199,16.556312354123577,296.31705237,19.42376350908454,0.9890780448913574,False,NONE
15,302,498,296.31705237,19.42376350908454,17550.0,47.05093833780161,35.596774193548384,1.5053636956686183,1.1388952791793574,2.3968332430832717,True,True,23,PV+/PNN+,171.59378904,14.781068900342463,296.31705237,19.42376350908454,-0.4590347409248352,False,NONE
