label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,skel_total_length_um,skel_branches_count,skel_avg_branch_len_um,skel_endpoints_count,skel_junctions_count,skel_tortuosity_mean,skel_ramification_index,skel_mean_thickness_um,skel_max_thickness_um,skel_mean_intensity,skel_neighborhood_wfa_sum,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um
1,35.22475570032573,879.9543973941368,129.7075,12.851020124828073,11928.0,True,False,-1,48.888582233137676,8,6.1110727791422095,4,4,1.2945305391242423,2.0,2.3964111734062756,4.687216658103186,36.6231884057971,10935.0,PV-/PNN+,0.0,0.0,129.7075,12.851020124828073
2,84.432,843.944,52.81250000000001,8.200180696565521,3147.0,True,False,-1,31.227059864222703,2,15.613529932111351,4,0,1.3129997515454788,2.0,1.845245935021862,2.906888370749727,30.906976744186046,5899.0,PV-/PNN+,0.0,0.0,52.81250000000001,8.200180696565521
3,82.0040650406504,928.060975609756,103.93500000000002,11.50365820433001,4898.0,True,False,-1,7.576955262170047,1,7.576955262170047,2,0,1.1430486016397812,1.0,1.3489525119168206,1.8384776310850237,29.363636363636363,1397.0,PV-/PNN+,0.0,0.0,103.93500000000002,11.50365820433001
4,103.90714285714286,903.4464285714286,118.30000000000001,12.272906670474185,6574.0,True,True,2,35.93477631085024,5,7.186955262170048,4,2,1.3962307524842406,2.5,2.30139594721601,5.360037313302959,32.958333333333336,6856.0,PV+/PNN+,118.30000000000001,12.272906670474185,103.93500000000002,11.50365820433001
5,139.15406162464987,745.781512605042,150.8325,13.858062766175742,8356.0,True,False,-1,43.35401512639276,9,4.817112791821418,6,4,1.2588900969099888,2.25,1.563758162254581,2.6,29.93220338983051,7243.0,PV-/PNN+,0.0,0.0,150.8325,13.858062766175742
6,144.87029288702928,1222.9707112970711,201.955,16.03549476183974,19361.0,True,False,-1,84.23868683519034,26,3.239949493661167,10,14,1.1637235548347182,1.8571428571428572,2.608745685006656,8.720665112249181,32.64957264957265,16847.0,PV-/PNN+,0.0,0.0,201.955,16.03549476183974
7,152.6697247706422,931.9755351681957,138.15750000000003,13.263015961754258,5087.0,True,False,-1,0.0,0,0.0,0,0,1.0,0.0,1.3,1.3,28.0,291.0,PV-/PNN+,0.0,0.0,138.15750000000003,13.263015961754258
8,152.71204188481676,895.4397905759163,80.6975,10.136431727253225,5533.0,True,False,-1,41.94249275747778,7,5.991784679639683,5,3,1.1510732329312419,2.3333333333333335,2.447243729039386,4.110960958218894,33.160714285714285,7881.0,PV-/PNN+,0.0,0.0,80.6975,10.136431727253225
9,152.66489361702128,949.3031914893617,79.43,10.056511176263564,1408.0,True,True,4,7.84619407771256,2,3.92309703885628,4,0,1.1137500318072946,2.0,1.3448731359237522,1.8384776310850237,26.75,1698.0,PV+/PNN+,79.43,10.056511176263564,31.687500000000004,6.351832654737959
10,162.125,901.8869047619048,70.98,9.506552628860888,3852.0,True,False,-1,16.184671708797584,3,5.394890569599195,6,0,1.0400234524292484,3.0,2.018581544580562,3.9000000000000004,32.57692307692308,4315.0,PV-/PNN+,0.0,0.0,70.98,9.506552628860888
11,163.82562277580072,1218.626334519573,118.72250000000001,12.294803042335424,11486.0,True,False,-1,43.957821048680195,8,5.494727631085024,7,3,1.104465783898112,2.6666666666666665,2.6368234728162894,8.720665112249181,34.30769230769231,11120.0,PV-/PNN+,0.0,0.0,118.72250000000001,12.294803042335424
12,167.41899441340783,917.8435754189944,151.25500000000002,13.877458244899065,5205.0,True,False,-1,3.519238815542512,1,3.519238815542512,2,0,1.2761423749153968,1.0,1.389746271847504,1.8384776310850237,26.833333333333332,820.0,PV-/PNN+,0.0,0.0,151.25500000000002,13.877458244899065
13,176.1776649746193,796.4213197969543,166.465,14.5584965162732,13045.0,True,False,-1,53.32705986422271,12,4.443921655351892,6,6,1.2146703833028654,2.0,2.1725888675789675,4.110960958218894,36.10666666666667,11068.0,PV-/PNN+,0.0,0.0,166.465,14.5584965162732
14,187.15408805031447,1163.6572327044025,134.35500000000002,13.079223946125122,11885.0,True,False,-1,163.8429111656884,46,3.5618024166454,17,25,1.0949287967337726,1.84,2.9108339440253697,7.353910524340095,33.07373271889401,28637.0,PV-/PNN+,0.0,0.0,134.35500000000002,13.079223946125122
15,198.75051975051974,927.1392931392932,203.22250000000003,16.08573664399432,26592.0,True,False,-1,122.41976182580581,34,3.600581230170759,11,19,1.219886334725724,1.7894736842105263,2.909426412638943,7.580237463298891,34.53503184713376,22602.0,PV-/PNN+,0.0,0.0,203.22250000000003,16.08573664399432
