label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score,is_in_roi,roi_region
1,528,1127,296.31705237,19.42376350908454,12324.0,33.0402144772118,29.927419354838708,3.1513273050659167,2.8544334616262503,1.7637193095104347,True,True,58,PV+/PNN+,183.51002439,15.28568676601291,296.31705237,19.42376350908454,2.1036369800567627,False,NONE
2,544,915,296.31705237,19.42376350908454,11643.0,31.214477211796247,22.096774193548388,2.9771911565143188,2.107557985679312,1.6155260066004105,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,2.0576858520507812,False,NONE
3,527,1298,296.31705237,19.42376350908454,20862.0,55.93029490616622,42.00806451612903,5.334549678536607,4.006667718030488,1.6746573245103218,True,True,61,PV+/PNN+,115.19027505,12.110524900374061,296.31705237,19.42376350908454,1.4876575469970703,False,NONE
4,375,1689,296.31705237,19.42376350908454,12384.0,33.20107238605898,24.137096774193548,3.1666696970087886,2.3021609675686787,1.5074835985674866,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.0650488138198853,False,NONE
5,414,1264,296.31705237,19.42376350908454,7385.0,19.798927613941018,16.524193548387096,1.8883927416351665,1.5760533987798941,1.7403587888546672,True,True,24,PV+/PNN+,177.15469887,15.0186673222671,296.31705237,19.42376350908454,1.1850253343582153,False,NONE
6,283,1611,296.31705237,19.42376350908454,5221.0,13.997319034852547,11.71774193548387,1.3350438055622484,1.117621077807314,1.9265129378303134,True,True,2,PV+/PNN+,173.18262042,14.849342099217841,296.31705237,19.42376350908454,0.19958171248435974,False,NONE
7,436,1410,296.31705237,19.42376350908454,9505.0,25.482573726541556,22.838709677419356,2.4304905902833123,2.1783227063663544,1.906072482256517,True,True,27,PV+/PNN+,199.39833819,15.933670303416712,296.31705237,19.42376350908454,0.4265623092651367,False,NONE
8,555,1594,296.31705237,19.42376350908454,13600.0,36.46112600536193,37.25806451612903,3.477608840384329,3.553619669284095,1.6235561855758307,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.2666651010513306,False,NONE
9,532,1420,296.31705237,19.42376350908454,15445.0,41.40750670241287,29.669354838709676,3.9493873926276435,2.829819645735105,1.773939537297333,True,True,64,PV+/PNN+,159.67755369,14.258603569939101,296.31705237,19.42376350908454,1.509415864944458,False,NONE
10,451,1520,296.31705237,19.42376350908454,9362.0,25.099195710455763,18.532258064516128,2.3939245561528004,1.767579653682868,3.4099059994715395,True,True,35,PV+/PNN+,184.30444008,15.318736938146314,296.31705237,19.42376350908454,0.054111238569021225,False,NONE
11,487,1334,296.31705237,19.42376350908454,8852.0,23.73190348525469,17.64516129032258,2.2635142246383877,1.6829696615570562,1.6257462343873088,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.5237575769424438,False,NONE
12,529,2146,296.31705237,19.42376350908454,13467.0,36.10455764075067,35.79838709677419,3.443599871577629,3.4143977731498047,3.523058521397913,True,True,60,PV+/PNN+,238.324707,17.4196567543629,296.31705237,19.42376350908454,2.589730739593506,False,NONE
13,360,1808,296.31705237,19.42376350908454,7444.0,19.95710455764075,15.774193548387096,1.9034794270456574,1.5045194963462531,2.938315488733237,True,True,13,PV+/PNN+,185.09885577,15.351715957885435,296.31705237,19.42376350908454,1.3195019960403442,False,NONE
14,507,1980,296.31705237,19.42376350908454,17848.0,47.84986595174263,42.95967741935484,4.563850189939669,4.097431164129086,1.6987478614365819,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.4163239002227783,False,NONE
15,414,2106,296.31705237,19.42376350908454,8428.0,22.595174262734584,17.45967741935484,2.155094654908759,1.6652784813852957,1.8476711806170985,True,True,26,PV+/PNN+,153.32222817,13.97196922387648,296.31705237,19.42376350908454,0.8291891813278198,False,NONE
16,502,2271,296.31705237,19.42376350908454,9685.0,25.96514745308311,18.620967741935484,2.476517766111928,1.7760406528954493,1.5052935497560083,True,True,56,PV+/PNN+,94.53546711,10.971157418634661,296.31705237,19.42376350908454,0.5852622985839844,False,NONE
17,446,1895,296.31705237,19.42376350908454,11049.0,29.621983914209114,19.822580645161292,2.825301476279886,1.8906487331385944,1.4731728338543282,True,True,36,PV+/PNN+,111.2181966,11.899891008124815,296.31705237,19.42376350908454,1.3650590181350708,False,NONE
18,416,1936,296.31705237,19.42376350908454,6492.0,17.404825737265416,14.991935483870968,1.6600468082187545,1.4299088669262192,1.9805341418467752,True,True,25,PV+/PNN+,205.75366371,16.185601660417575,296.31705237,19.42376350908454,0.7949973344802856,False,NONE
19,446,2040,296.31705237,19.42376350908454,14111.0,37.83109919571046,30.032258064516128,3.6082748784311223,2.8644328243320283,1.5228139402478338,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.5753933787345886,False,NONE
20,436,2630,296.31705237,19.42376350908454,21493.0,57.62198391420912,40.45161290322581,5.495900500469145,3.8582156409370176,3.347124600209165,True,True,30,PV+/PNN+,184.30444008,15.318736938146314,296.31705237,19.42376350908454,1.847061038017273,False,NONE
21,474,2673,296.31705237,19.42376350908454,29092.0,77.99463806970509,54.92741935483871,7.439014440033889,5.238896876080947,1.711158138034958,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.7837685346603394,False,NONE
22,356,2444,296.31705237,19.42376350908454,6168.0,16.536193029490615,14.403225806451612,1.5771978917272453,1.373758599424544,1.9644737838959354,True,True,12,PV+/PNN+,161.26638507,14.329366305165497,296.31705237,19.42376350908454,0.4613945484161377,False,NONE
23,396,2695,296.31705237,19.42376350908454,18283.0,49.016085790884716,42.58870967741935,4.675082531525491,4.062048803785564,1.933083084264748,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.5788925886154175,False,NONE
24,572,2710,296.31705237,19.42376350908454,17055.0,45.72386058981233,37.33870967741935,4.361074909761377,3.561311486750078,1.5826752744282377,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.7340689897537231,False,NONE
25,435,2813,296.31705237,19.42376350908454,12404.0,33.25469168900804,25.943548387096776,3.1717838276564123,2.474457678806696,2.548486800290119,True,True,31,PV+/PNN+,151.73339679,13.899387074616614,296.31705237,19.42376350908454,2.3351781368255615,False,NONE
