label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
1,933.0,1062.0,47.74250000000001,7.800000000000001,7581.0,67.08849557522124,32.77858880778589,0.001023704822998722,0.0005001692043608131,0.0003025874015331826,True,True,1,PV+/PNN+,129.28500000000003,12.830073052835106,47.74250000000001,7.800000000000001,0.968616783618927
2,71.5,138.0,45.63,7.800000000000001,3358.0,31.09259259259259,23.522673031026255,0.0004744425511954313,0.00035893298284926,0.00015922964070827486,True,True,2,PV+/PNN+,110.69500000000001,11.87186806717708,45.63,7.800000000000001,0.9335644841194153
3,749.0,291.0,47.74250000000001,7.800000000000001,4870.0,43.097345132743364,33.68909512761021,0.0006576233330700139,0.000514062640232093,0.00012699906939099998,True,True,3,PV+/PNN+,134.7775,13.099772621711548,47.74250000000001,7.800000000000001,0.9353829622268677
4,749.0,614.0,47.74250000000001,7.800000000000001,5237.0,46.34513274336283,36.138263665594856,0.0007071813953362757,0.0005514345565819006,0.00020187928176026139,True,True,4,PV+/PNN+,106.47000000000001,11.6431015768116,47.74250000000001,7.800000000000001,0.9489888548851013
5,800.0,154.0,47.74250000000001,7.800000000000001,5282.0,46.743362831858406,22.164429530201343,0.0007132579969765531,0.0003382075155291271,0.00015271036874567835,True,True,5,PV+/PNN+,107.31500000000001,11.689213050640065,47.74250000000001,7.800000000000001,0.958669900894165
6,752.0,539.0,47.74250000000001,7.800000000000001,6456.0,57.13274336283186,44.41411042944785,0.0008717897819917885,0.0006777158835652376,0.00019620507507654993,True,True,6,PV+/PNN+,104.35750000000002,11.5270159100133,47.74250000000001,7.800000000000001,0.9592936038970947
7,492.5,124.0,45.63,7.800000000000001,7021.0,65.00925925925925,53.9683257918552,0.0009919777105250516,0.0008235038649859648,0.00016593299160221506,True,True,7,PV+/PNN+,90.8375,10.754436161179271,45.63,7.800000000000001,0.8319729566574097
8,374.5,67.0,45.63,7.800000000000001,4508.0,41.74074074074074,25.252199413489738,0.0006369228769472914,0.0003853238637901844,0.00015400184654331057,True,True,8,PV+/PNN+,95.90750000000001,11.050485131282139,45.63,7.800000000000001,0.9726707339286804
9,696.5,154.5,47.32000000000001,7.800000000000001,3924.0,35.035714285714285,21.741721854304636,0.0005346107314521139,0.00033175740984671756,0.00017356423033807876,True,True,9,PV+/PNN+,112.8075,11.984613883755783,47.32000000000001,7.800000000000001,0.9696453809738159
10,933.0,389.5,45.63,7.800000000000001,2372.0,21.962962962962962,18.01047120418848,0.00033513333276818436,0.0002748221744745324,0.0002312328702807073,True,True,10,PV+/PNN+,142.805,13.484249077568427,45.63,7.800000000000001,0.8551952242851257
11,531.0,342.5,45.63,7.800000000000001,5570.0,51.574074074074076,53.16588785046729,0.0007869699255981396,0.0008112594468675867,0.0003219102089291016,True,True,11,PV+/PNN+,140.27,13.364030490087986,45.63,7.800000000000001,0.8883134126663208
12,292.5,911.0,45.63,7.800000000000001,3346.0,30.98148148148148,17.776442307692307,0.0004727471043180206,0.00027125112241843755,0.00033120577236251146,True,True,12,PV+/PNN+,159.28250000000003,14.240954244160697,45.63,7.800000000000001,0.914305567741394
13,980.0,914.5,45.63,7.800000000000001,5343.0,49.47222222222222,30.40785498489426,0.0007548977221671202,0.00046399412504607095,0.00027922935491947644,True,True,13,PV+/PNN+,119.99000000000001,12.360259421742418,45.63,7.800000000000001,0.9846833348274231
14,402.0,869.5,45.63,7.800000000000001,10798.0,99.98148148148148,48.84782608695652,0.0015256196151900738,0.0007453700478668883,0.000144960708018616,True,True,14,PV+/PNN+,115.76500000000001,12.140699151872026,45.63,7.800000000000001,0.9775953888893127
