label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,skel_total_length_um,skel_branches_count,skel_avg_branch_len_um,skel_endpoints_count,skel_junctions_count,skel_tortuosity_mean,skel_ramification_index,skel_mean_thickness_um,skel_max_thickness_um,skel_mean_intensity,skel_neighborhood_wfa_sum,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um
1,102.36769759450172,20.333333333333332,122.94750000000002,12.511659319463842,8436.0,True,False,-1,18.13467170879759,1,18.13467170879759,2,0,2.003067001105463,1.0,1.6363961030678928,2.6,42.23076923076923,4637.0,PV-/PNN+,0.0,0.0,122.94750000000002,12.511659319463842
2,166.66666666666666,442.57254901960783,107.73750000000001,11.712200709128265,10974.0,True,False,-1,32.68477631085024,1,32.68477631085024,0,0,1.0,1.0,2.078480319684974,2.906888370749727,51.595238095238095,9036.0,PV-/PNN+,0.0,0.0,107.73750000000001,11.712200709128265
3,185.0184331797235,702.6912442396314,91.6825,10.804341005363613,7099.0,True,False,-1,25.219343417595173,2,12.609671708797586,4,0,1.5296550388669308,2.0,2.0216691219859726,2.906888370749727,46.114285714285714,6602.0,PV-/PNN+,0.0,0.0,91.6825,10.804341005363613
4,188.83333333333334,519.4814814814815,45.63,7.622199185685551,4379.0,True,True,10,3.519238815542512,1,3.519238815542512,2,0,1.0618146386653506,1.0,1.479492543695008,1.8384776310850237,35.166666666666664,1136.0,PV+/PNN+,45.63,7.622199185685551,79.00750000000001,10.029729474450614
5,198.9111111111111,248.24444444444444,38.025000000000006,6.958084052995808,7831.0,True,True,12,29.007821048680196,1,29.007821048680196,0,0,1.0,1.0,1.6493990649019832,2.6,41.1578947368421,6810.0,PV+/PNN+,38.025000000000006,6.958084052995808,93.3725,10.903465476204527
6,216.679180887372,512.8703071672355,123.79250000000002,12.554581089850336,5298.0,True,True,13,6.165432893255071,1,6.165432893255071,2,0,1.0288232155261725,1.0,1.5298097038856282,2.6,36.5,1417.0,PV+/PNN+,123.79250000000002,12.554581089850336,88.30250000000001,10.603312449370561
7,219.11607142857142,335.30357142857144,94.64000000000001,10.977221438676356,12415.0,True,False,-1,28.73858223313767,5,5.747716446627534,4,2,1.3792661166593232,2.5,3.0031716250727896,4.687216658103186,67.1,11944.0,PV-/PNN+,0.0,0.0,94.64000000000001,10.977221438676356
8,234.39,327.68,84.50000000000001,10.37249929043725,6587.0,True,False,-1,13.69619407771256,2,6.84809703885628,4,0,1.1497998646502814,2.0,2.830885245079035,4.687216658103186,60.22727272727273,6368.0,PV-/PNN+,0.0,0.0,84.50000000000001,10.37249929043725
9,235.53465346534654,82.14356435643565,85.34500000000001,10.424232774905905,11314.0,True,False,-1,40.21553749530773,8,5.026942186913466,4,4,1.145146827745526,2.0,2.3419761719633665,3.6769552621700474,52.388888888888886,11458.0,PV-/PNN+,0.0,0.0,85.34500000000001,10.424232774905905
10,236.04484304932734,340.6143497757848,94.21750000000002,10.952691304245054,5172.0,True,False,-1,8.765432893255072,1,8.765432893255072,2,0,1.1198916626863442,1.0,2.4677544389728583,3.6769552621700474,45.5,2851.0,PV-/PNN+,0.0,0.0,94.21750000000002,10.952691304245054
11,266.078313253012,37.10843373493976,70.135,9.449796583524995,17976.0,True,True,19,66.24259735953045,15,4.41617315730203,3,9,1.2716276005123082,1.6666666666666667,2.235448502907628,4.110960958218894,44.44047619047619,16395.0,PV+/PNN+,70.135,9.449796583524995,147.45250000000001,13.701910595608979
12,266.9502487562189,148.09950248756218,84.92250000000001,10.39839820538586,22366.0,True,True,18,166.7583440589435,46,3.625181392585728,20,24,1.1302982581714844,1.9166666666666667,3.290397943222756,10.480935072788114,46.57013574660633,43158.0,PV+/PNN+,84.92250000000001,10.39839820538586,121.25750000000001,12.425370984229163
