label,centroid_y,centroid_x,area_um2,diameter_um,dapi_mean_intensity,wfa_sum_intensity,is_pnn_plus,is_pv_plus
1,197.3111111111111,2738.9555555555557,19.012500000000003,4.920108417939312,4.333333333333333,11810,False,False
2,198.91011235955057,2421.85393258427,37.602500000000006,6.919320051920128,5.213483146067416,6961,False,False
3,200.864406779661,2350.406779661017,49.855000000000004,7.967267881951225,4.584745762711864,10137,False,False
4,202.30769230769232,2312.605769230769,43.940000000000005,7.479715609277069,5.230769230769231,10821,False,False
5,201.52380952380952,2705.3571428571427,17.745,4.753276314430444,4.071428571428571,11780,False,False
6,203.8846153846154,2368.3076923076924,32.955000000000005,6.477623730716943,8.282051282051283,11151,False,False
7,202.65,2393.2625,33.800000000000004,6.560144557252417,7.8125,11215,False,False
8,202.46153846153845,2436.523076923077,27.462500000000002,5.913234393907399,2.8153846153846156,5137,False,False
9,203.2153846153846,2295.492307692308,27.462500000000002,5.913234393907399,6.630769230769231,10851,False,False
10,204.66666666666666,2331.1494252873563,36.7575,6.8411331346205175,8.931034482758621,11347,False,False
11,203.43396226415095,2381.2264150943397,22.392500000000002,5.3395708165996005,8.433962264150944,11156,False,False
12,208.73626373626374,2419.978021978022,38.447500000000005,6.996633290104976,10.241758241758241,9655,False,False
13,207.98214285714286,2247.464285714286,23.660000000000004,5.488610719338178,7.160714285714286,11205,False,False
14,208.9390243902439,2258.9634146341464,34.645,6.641640160935379,7.2926829268292686,11936,False,False
15,209.5,2691.8823529411766,14.365000000000002,4.276691017611702,4.382352941176471,13290,False,False
16,211.37272727272727,2230.2090909090907,46.475,7.692451354514157,7.209090909090909,11806,False,False
17,212.16867469879517,2201.0602409638554,35.0675,6.682015245043993,6.433734939759036,11016,False,False
18,214.77777777777777,2180.8282828282827,41.82750000000001,7.297700121093632,7.96969696969697,10787,False,False
19,214.66666666666666,2730.1296296296296,22.815,5.389708731752834,4.444444444444445,14275,False,False
20,218.70454545454547,2143.7954545454545,37.18000000000001,6.880337656921596,6.545454545454546,10545,False,False
21,219.44444444444446,2812.0833333333335,15.21,4.4006787516724994,4.305555555555555,14739,False,False
22,221.04,2253.36,10.562500000000002,3.6672322930604158,6.8,15534,False,False
23,223.6060606060606,2769.1363636363635,27.885,5.958547197508803,4.7272727272727275,14126,False,False
24,225.8095238095238,2465.9761904761904,17.745,4.753276314430444,2.0238095238095237,9431,False,False
25,224.5,2197.8846153846152,10.985000000000001,3.7398578046385347,4.076923076923077,14812,False,False
26,226.2941176470588,2429.6617647058824,28.730000000000004,6.048154439185661,4.970588235294118,11750,False,False
27,228.8658536585366,2204.768292682927,34.645,6.641640160935379,5.2682926829268295,15977,False,False
28,229.6326530612245,2737.3469387755104,41.405,7.260749503306075,4.081632653061225,13892,False,False
29,228.19444444444446,2216.027777777778,15.21,4.4006787516724994,5.555555555555555,16064,False,False
30,228.1219512195122,2543.8536585365855,17.3225,4.696348795998318,4.536585365853658,14500,False,False
31,228.57142857142858,2840.326530612245,20.7025,5.134125210284583,3.877551020408163,13633,False,False
32,232.2295081967213,2077.9508196721313,51.545,8.101180922147954,6.172131147540983,9855,False,False
33,228.6271186440678,2097.64406779661,24.927500000000002,5.633709146857493,7.271186440677966,11258,False,False
34,229.46,2615.2,21.125000000000004,5.186249645218625,4.84,13905,False,False
35,230.1578947368421,2480.157894736842,16.055000000000003,4.5212676198963315,5.7105263157894735,11909,False,False
36,231.01282051282053,2702.8205128205127,32.955000000000005,6.477623730716943,4.115384615384615,13549,False,False
37,231.52083333333334,2305.6041666666665,20.28,5.081466123790367,5.125,17388,False,False
38,231.6875,2445.3375,33.800000000000004,6.560144557252417,3.1125,10082,False,False
39,231.0,2510.5,14.365000000000002,4.276691017611702,3.264705882352941,15159,False,False
40,232.48979591836735,2273.2448979591836,20.7025,5.134125210284583,5.530612244897959,17873,False,False
41,233.75675675675674,2412.108108108108,31.265000000000004,6.309345002941657,4.945945945945946,14915,False,False
42,236.60913705583755,2058.3553299492387,83.2325,10.294411610537507,3.3451776649746194,9260,False,False
43,234.94202898550725,2558.985507246377,29.152500000000003,6.092463855279885,4.797101449275362,14049,False,False
44,234.42,2688.28,21.125000000000004,5.186249645218625,4.62,13240,False,False
45,234.7,2792.2,29.575000000000003,6.136453335237093,4.242857142857143,14999,False,False
