label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,skel_total_length_um,skel_branches_count,skel_avg_branch_len_um,skel_endpoints_count,skel_junctions_count,skel_tortuosity_mean,skel_ramification_index,skel_mean_thickness_um,skel_max_thickness_um,skel_mean_intensity,skel_neighborhood_wfa_sum,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um
1,59.60674157303371,109.89887640449439,37.602500000000006,6.919320051920128,7439.0,True,False,-1,17.64238815542512,2,8.82119407771256,1,1,1.0706040453940169,2.0,2.1486931147140877,2.906888370749727,84.47826086956522,8300.0,PV-/PNN+,0.0,0.0,37.602500000000006,6.919320051920128
2,94.38372093023256,83.77131782945736,109.00500000000001,11.780894557454303,19415.0,True,True,32,35.01553749530773,4,8.753884373826933,5,1,1.2217534731595237,4.0,2.9632270955460487,8.221921916437788,83.77083333333333,17991.0,PV+/PNN+,109.00500000000001,11.780894557454303,116.61000000000001,12.18492771055977
3,101.24875621890547,99.08955223880596,84.92250000000001,10.39839820538586,14681.0,True,True,39,21.430865786510147,2,10.715432893255073,4,0,1.5850542964590237,2.0,2.4702688588363113,5.360037313302959,83.56666666666666,11772.0,PV+/PNN+,84.92250000000001,10.39839820538586,83.65500000000002,10.320506485382394
4,113.30232558139535,88.35813953488372,90.8375,10.754436161179271,8223.0,True,True,46,0.0,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,PV+/PNN+,90.8375,10.754436161179271,79.43,10.056511176263564
5,115.70322580645161,277.5032258064516,65.48750000000001,9.131334770220834,29916.0,True,True,49,45.30401512639276,5,9.060803025278553,4,2,1.2470383740625655,2.5,1.9386362895636091,3.6769552621700474,86.88709677419355,24014.0,PV+/PNN+,65.48750000000001,9.131334770220834,158.43750000000003,14.20312959769703
6,120.028,339.608,105.62500000000001,11.596806754993013,65524.0,True,True,50,80.63498551495553,7,11.519283644993648,5,3,1.344779799629199,2.3333333333333335,2.0109212688094025,3.9000000000000004,84.43396226415095,42913.0,PV+/PNN+,105.62500000000001,11.596806754993013,263.21750000000003,18.30680009904319
7,133.6951871657754,530.2620320855615,79.00750000000001,10.029729474450614,4952.0,True,True,57,25.711626970967636,2,12.855813485483818,4,0,1.2793766921946308,2.0,1.7326438121264918,2.6,77.0,11928.0,PV+/PNN+,79.00750000000001,10.029729474450614,40.56,7.186278309003779
8,152.34117647058824,23.741176470588236,71.825,9.562971834142516,31577.0,True,True,72,47.14249275747777,6,7.857082126246294,3,3,1.1382845271978195,2.0,2.782291047945035,4.687216658103186,96.12698412698413,27324.0,PV+/PNN+,71.825,9.562971834142516,130.13000000000002,12.8719331087598
9,166.84821428571428,132.61607142857142,94.64000000000001,10.977221438676356,35734.0,True,True,82,79.10401512639275,22,3.5956370511996707,8,12,1.343383816578198,1.8333333333333333,2.6964723864231317,5.813776741499454,87.35135135135135,39957.0,PV+/PNN+,94.64000000000001,10.977221438676356,152.5225,13.935482713629582
10,169.88028169014083,397.71830985915494,59.995000000000005,8.740023254338977,35290.0,True,True,87,55.90792565073285,9,6.211991738970316,6,4,1.084694739703675,2.25,2.242669271735331,6.5,78.50666666666666,27865.0,PV+/PNN+,59.995000000000005,8.740023254338977,185.9,15.384902709028314
11,177.21818181818182,147.83636363636364,46.475,7.692451354514157,34112.0,True,True,94,40.819343417595164,8,5.1024179271993955,7,3,1.100767933639248,2.6666666666666665,2.676878614829854,7.000714249274855,92.35593220338983,27822.0,PV+/PNN+,46.475,7.692451354514157,123.37000000000002,12.533138578743038
12,195.82627118644066,399.5720338983051,99.71000000000001,11.267418293714986,12368.0,True,True,109,23.00010460205266,4,5.750026150513165,5,1,1.0831262328491893,4.0,3.167844051779208,5.813776741499454,72.375,11945.0,PV+/PNN+,99.71000000000001,11.267418293714986,92.95,10.878769033449206
13,199.6687898089172,21.62420382165605,66.33250000000001,9.190057785517194,21099.0,True,True,119,34.477059864222696,2,17.238529932111348,1,1,1.0000000000000002,2.0,3.1988015185667584,6.5,102.3913043478261,20848.0,PV+/PNN+,66.33250000000001,9.190057785517194,89.9925,10.704298656594888
14,208.70552147239263,5.47239263803681,68.8675,9.364017532397558,12888.0,True,True,123,28.580865786510145,6,4.763477631085024,3,3,1.404721814301846,2.0,3.1474093936687044,5.813776741499454,93.28205128205128,15339.0,PV+/PNN+,68.8675,9.364017532397558,68.8675,9.364017532397558
15,216.11023622047244,456.0,53.657500000000006,8.265521814841879,29876.0,True,True,135,74.64640328181787,16,4.665400205113617,5,9,1.2325324462259433,1.7777777777777777,2.7237577214749944,4.687216658103186,93.64,39180.0,PV+/PNN+,53.657500000000006,8.265521814841879,124.21500000000002,12.575987040756612
16,221.51738241308794,477.94274028629854,206.60250000000002,16.218954129078313,21197.0,True,False,-1,9.415432893255073,2,4.707716446627536,4,0,1.0523786479478554,2.0,1.9340682330121466,2.6,69.28571428571429,5308.0,PV-/PNN+,0.0,0.0,206.60250000000002,16.218954129078313
17,219.9747899159664,211.6890756302521,50.2775,8.000956268498294,14208.0,True,True,141,38.265537495307726,5,7.653107499061545,4,2,1.310391663582369,2.5,1.8626798451430675,2.906888370749727,76.61538461538461,16238.0,PV+/PNN+,50.2775,8.000956268498294,100.9775,11.338807085778242
18,223.4493670886076,58.85443037974684,66.75500000000001,9.219279028687428,19306.0,True,True,144,42.927059864222684,7,6.132437123460384,2,4,2.878841629469233,1.75,2.5907384029077445,5.360037313302959,77.58620689655173,19535.0,PV+/PNN+,66.75500000000001,9.219279028687428,110.69500000000001,11.87186806717708
19,227.44303797468353,401.9367088607595,66.75500000000001,9.219279028687428,22832.0,True,True,154,64.5809703885628,14,4.612926456325915,4,8,1.1673091088479386,1.75,3.3439109871216752,6.5,92.72413793103448,34038.0,PV+/PNN+,66.75500000000001,9.219279028687428,95.90750000000001,11.050485131282139
20,233.35746606334843,498.16968325791856,186.745,15.419828753315258,40661.0,True,False,-1,65.76944801964783,9,7.307716446627536,6,4,1.1708440037076135,2.25,2.5490024767263937,6.62872536767062,80.32967032967034,36112.0,PV-/PNN+,0.0,0.0,186.745,15.419828753315258
21,236.5204081632653,476.3775510204082,82.81,10.268250420569165,7729.0,True,False,-1,2.488477631085024,1,2.488477631085024,2,0,1.0618146386653509,1.0,1.625,2.6,67.25,1739.0,PV-/PNN+,0.0,0.0,82.81,10.268250420569165
22,250.79289940828403,409.6508875739645,71.4025,9.534803961957083,46643.0,True,True,178,56.60411972844541,16,3.537757483027838,7,8,1.1646574802855905,2.0,4.692652078079353,11.183022847155415,110.41666666666667,41117.0,PV+/PNN+,71.4025,9.534803961957083,124.21500000000002,12.575987040756612
23,260.48366013071893,419.01307189542484,64.64250000000001,9.072231658778492,20153.0,True,False,-1,55.211731573020295,10,5.521173157302029,5,5,1.1929176905939642,2.0,3.9291391939950486,9.464142856064674,102.55844155844156,37157.0,PV-/PNN+,0.0,0.0,64.64250000000001,9.072231658778492
