label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score,is_in_roi,roi_region
1,80,188,296.31705237,19.42376350908454,9138.0,24.498659517426272,20.556451612903224,1.654822906254252,1.388536665695623,0.9651013155372312,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.1336767077445984,False,NONE
2,427,38,296.31705237,19.42376350908454,19919.0,53.402144772117964,32.71774193548387,3.6071807255065056,2.210001276079695,2.173613139860401,True,True,57,PV+/PNN+,141.40599282,13.418036440588484,296.31705237,19.42376350908454,1.6461824178695679,True,B
3,362,228,296.31705237,19.42376350908454,29292.0,78.53083109919571,77.99193548387096,5.304560360034969,5.268159315002892,2.105999109642085,True,True,44,PV+/PNN+,133.46183592,13.035677474005706,296.31705237,19.42376350908454,1.9591472148895264,True,B
4,338,348,296.31705237,19.42376350908454,26181.0,70.19034852546918,45.83064516129032,4.741181714668699,3.0957449474885155,1.6494264740099804,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.6988508701324463,True,B
5,299,209,296.31705237,19.42376350908454,23660.0,63.43163538873995,43.306451612903224,4.284647621139812,2.9252420144313445,1.5163335934749786,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.4576876163482666,True,B
6,269,379,296.31705237,19.42376350908454,12400.0,33.24396782841823,27.330645161290324,2.245546513192463,1.8461164221429844,2.5330350899682936,True,True,26,PV+/PNN+,174.7714518,14.917302830020427,296.31705237,19.42376350908454,1.0156430006027222,True,B
7,445,554,296.31705237,19.42376350908454,30002.0,80.4343163538874,59.185483870967744,5.433136007161312,3.9978307530561707,2.721286784628764,True,True,64,PV+/PNN+,132.66742023,12.996822909266468,296.31705237,19.42376350908454,0.5495749711990356,False,NONE
8,349,84,296.31705237,19.42376350908454,19657.0,52.69973190348526,38.16129032258065,3.559734500792278,2.577699294653468,2.0188125969921504,True,True,41,PV+/PNN+,150.14456541,13.82642390884524,296.31705237,19.42376350908454,1.298928141593933,True,B
9,410,329,296.31705237,19.42376350908454,31974.0,85.72117962466488,54.16935483870968,5.790250339743211,3.659003838163006,1.7519151092882705,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.2991704940795898,True,B
10,508,384,296.31705237,19.42376350908454,29806.0,79.9088471849866,58.63709677419355,5.397641884856013,3.9607885822961464,2.066142418144972,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.22378486394882202,True,B
11,403,169,296.31705237,19.42376350908454,30439.0,81.6058981233244,60.87903225806452,5.512273412505272,4.112225692168011,1.4917790246062217,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.3485498428344727,True,B
12,386,71,296.31705237,19.42376350908454,12196.0,32.6970509383378,26.241935483870968,2.208603651201232,1.77257681842823,2.14763511772389,True,True,46,PV+/PNN+,150.14456541,13.82642390884524,296.31705237,19.42376350908454,-0.3743109703063965,True,B
13,482,283,296.31705237,19.42376350908454,36694.0,98.37533512064343,59.91935483870968,6.645006754442276,4.047401893337968,1.1796868956511508,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.6073986291885376,True,B
14,376,418,296.31705237,19.42376350908454,20682.0,55.447721179624665,41.13709677419355,3.7453542730521385,2.7787075448071303,1.7280722670533903,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.1228989362716675,True,B
15,435,219,296.31705237,19.42376350908454,21780.0,58.39142091152815,43.83870967741935,3.9441937949461163,2.96119470958078,1.4522781964260474,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.7396036386489868,True,B
16,387,303,296.31705237,19.42376350908454,28900.0,77.4798927613941,56.96774193548387,5.233572115424369,3.8480278566001895,1.4953376577756068,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.8753470182418823,True,B
17,359,449,296.31705237,19.42376350908454,14225.0,38.13672922252011,32.95967741935484,2.576040254045386,2.2263434102385298,2.575382824683976,True,True,43,PV+/PNN+,204.16483233,16.12298787963261,296.31705237,19.42376350908454,-0.4229903221130371,True,B
18,397,130,296.31705237,19.42376350908454,25254.0,67.70509383378015,42.54838709677419,4.573309003561488,2.8740366607336636,1.3480102445630648,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.3757778406143188,True,B
19,457,252,296.31705237,19.42376350908454,19683.0,52.76943699731903,38.75,3.564442904771552,2.6174651544399645,2.3017239339582636,True,True,67,PV+/PNN+,123.92884764,12.56149312576761,296.31705237,19.42376350908454,0.042715009301900864,True,B
20,390,476,296.31705237,19.42376350908454,22664.0,60.761394101876675,46.056451612903224,4.10427953024145,3.110997606036761,1.5722041342343243,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.3102737069129944,True,B
21,257,291,296.31705237,19.42376350908454,22976.0,61.597855227882036,56.04838709677419,4.160780377992744,3.785927746796619,1.5924883432998191,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.1752327680587769,True,B
22,188,233,296.31705237,19.42376350908454,7855.0,21.05898123324397,15.491935483870968,1.4224812791231287,1.0464413239706913,2.3586620646684247,True,True,9,PV+/PNN+,153.32222817,13.97196922387648,296.31705237,19.42376350908454,-0.49430376291275024,True,B
23,520,503,296.31705237,19.42376350908454,39931.0,107.05361930294906,66.4758064516129,7.231203049861954,4.490273729042378,1.5184687733766096,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.828838586807251,True,B
24,316,441,296.31705237,19.42376350908454,11462.0,30.72922252010724,24.830645161290324,2.0756817850170974,1.6772477025016965,2.0412319859592767,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,-1.1034992933273315,True,B
25,424,508,296.31705237,19.42376350908454,23744.0,63.656836461126005,66.20161290322581,4.299859387842083,4.4717526436623665,1.6739810428787372,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.2177609205245972,True,B
26,526,259,296.31705237,19.42376350908454,8305.0,22.265415549597854,25.20967741935484,1.503972886456726,1.702850379350537,3.019144380906294,True,True,78,PV+/PNN+,241.50236976,17.53540325529143,296.31705237,19.42376350908454,-0.32632866501808167,True,B
27,264,27,296.31705237,19.42376350908454,6923.0,18.560321715817693,15.540322580645162,1.2537031057122112,1.0497097508024582,2.2412271700787176,True,True,24,PV+/PNN+,186.68768715,15.417462365594622,296.31705237,19.42376350908454,-1.7545493841171265,True,B
