label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score,is_in_roi,roi_region
1,432,1953,296.31705237,19.42376350908454,12305.0,32.98927613941019,24.798387096774192,1.44325186474015,1.084907661166018,2.162511425334389,True,True,74,PV+/PNN+,177.94911456,15.05230379737267,296.31705237,19.42376350908454,1.8772586584091187,False,NONE
2,565,2090,296.31705237,19.42376350908454,48361.0,129.65415549597856,86.06451612903226,5.672255459626038,3.7652470113703234,2.5408417070191525,True,True,156,PV+/PNN+,199.39833819,15.933670303416712,296.31705237,19.42376350908454,2.4744670391082764,False,NONE
3,333,2288,296.31705237,19.42376350908454,9165.0,24.571045576407506,19.096774193548388,1.0749616692680597,0.8354671029727254,2.4530306370207255,True,True,38,PV+/PNN+,206.5480794,16.216817893198968,296.31705237,19.42376350908454,0.7851905822753906,False,NONE
4,545,2124,296.31705237,19.42376350908454,32066.0,85.96782841823057,67.96774193548387,3.7610170089197608,2.973529030343805,2.299470482272233,True,True,142,PV+/PNN+,225.61405596,16.948768034767717,296.31705237,19.42376350908454,1.7460047006607056,False,NONE
5,499,2169,296.31705237,19.42376350908454,12625.0,33.847184986595174,30.193548387096776,1.4807846235143758,1.3209412303757957,1.9093446837220094,True,True,119,PV+/PNN+,238.324707,17.4196567543629,296.31705237,19.42376350908454,0.7203044891357422,False,NONE
6,572,2149,296.31705237,19.42376350908454,25750.0,69.0348525469169,47.975806451612904,3.0202141826134796,2.098899406919233,1.6780214918604823,True,True,166,PV+/PNN+,166.8272949,14.574330482319754,296.31705237,19.42376350908454,0.8234305381774902,False,NONE
7,489,2230,296.31705237,19.42376350908454,20498.0,54.9544235924933,45.983870967741936,2.4042077792314993,2.0117539785263854,2.8313609187054896,True,True,111,PV+/PNN+,195.42625974,15.774170088491289,296.31705237,19.42376350908454,1.0076297521591187,False,NONE
8,572,2287,296.31705237,19.42376350908454,33380.0,89.49061662198392,66.25806451612904,3.915135899636425,2.898732144435774,2.3739569869226402,True,True,169,PV+/PNN+,147.76131834,13.716251444643651,296.31705237,19.42376350908454,0.9390513300895691,False,NONE
9,536,1917,296.31705237,19.42376350908454,9516.0,25.512064343163537,19.951612903225808,1.1161304140485386,0.872865545926741,3.029481914945721,True,True,138,PV+/PNN+,168.41612628000001,14.643567596416077,296.31705237,19.42376350908454,0.3239039182662964,False,NONE
10,398,2736,296.31705237,19.42376350908454,26874.0,72.04825737265415,62.854838709677416,3.152047997807947,2.7498440036188434,2.2411482044374575,True,True,62,PV+/PNN+,194.63184405,15.742076118135982,296.31705237,19.42376350908454,2.483518362045288,False,NONE
