label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,skel_total_length_um,skel_branches_count,skel_avg_branch_len_um,skel_endpoints_count,skel_junctions_count,skel_tortuosity_mean,skel_ramification_index,skel_mean_thickness_um,skel_max_thickness_um,skel_mean_intensity,skel_neighborhood_wfa_sum,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um
1,110.79323308270676,168.24436090225564,112.385,11.9621497330146,34184.0,True,True,25,46.85411972844541,4,11.713529932111353,2,2,1.2744087767129009,2.0,1.983023992954617,2.906888370749727,86.58620689655173,23604.0,PV+/PNN+,112.385,11.9621497330146,169.4225,14.687253887908833
2,109.07981220657277,68.2300469483568,89.9925,10.704298656594888,7029.0,True,True,24,3.4077164466275356,1,3.4077164466275356,2,0,1.0485281374238569,1.0,1.5153910524340095,1.8384776310850237,79.8,1873.0,PV+/PNN+,89.9925,10.704298656594888,70.135,9.449796583524995
3,115.91044776119404,39.940298507462686,84.92250000000001,10.39839820538586,19571.0,True,True,26,39.34249275747777,6,6.5570821262462955,3,3,1.1728157149884266,2.0,2.591438886921988,4.110960958218894,100.0,20307.0,PV+/PNN+,84.92250000000001,10.39839820538586,100.555,11.315060866864318
4,131.56666666666666,399.35,101.4,11.362503678157625,35767.0,True,True,34,54.11564209736038,6,9.019273682893397,3,3,1.1517136166248876,2.0,1.9008035549719084,2.906888370749727,84.27142857142857,26858.0,PV+/PNN+,101.4,11.362503678157625,171.1125,14.760325253817937
5,140.07857142857142,29.935714285714287,118.30000000000001,12.272906670474185,12389.0,True,False,-1,8.338477631085025,3,2.7794925436950084,6,0,1.0132086568291265,3.0,1.4943621928836717,2.6,75.33333333333333,6054.0,PV-/PNN+,0.0,0.0,118.30000000000001,12.272906670474185
6,151.14492753623188,43.21739130434783,58.30500000000001,8.616045012404687,28195.0,True,True,42,42.434776310850246,8,5.304347038856281,4,4,1.2610889490166914,2.0,1.9972490452694613,2.906888370749727,86.28070175438596,23014.0,PV+/PNN+,58.30500000000001,8.616045012404687,132.2425,12.97599246665317
7,156.20454545454547,267.8181818181818,55.77,8.426658258757147,17632.0,True,True,45,31.719343417595162,3,10.57311447253172,3,1,2.987244217050314,3.0,1.7442176183168194,2.906888370749727,84.79545454545455,15699.0,PV+/PNN+,55.77,8.426658258757147,103.93500000000002,11.50365820433001
8,160.79268292682926,439.5731707317073,103.93500000000002,11.50365820433001,30070.0,True,True,47,33.557821048680196,3,11.185940349560065,6,0,1.2094214868998219,3.0,2.4800721710064133,5.360037313302959,94.04166666666667,22092.0,PV+/PNN+,103.93500000000002,11.50365820433001,138.15750000000003,13.263015961754258
9,157.74384236453201,23.02463054187192,85.76750000000001,10.450003476223014,15376.0,True,False,-1,18.29238815542512,4,4.57309703885628,8,0,1.1437411649669238,4.0,2.672360947691022,3.9000000000000004,93.03571428571429,13110.0,PV-/PNN+,0.0,0.0,85.76750000000001,10.450003476223014
10,161.0327868852459,492.62295081967216,77.31750000000001,9.92187978661609,21742.0,True,True,48,38.646298679765216,3,12.88209955992174,3,1,1.2429738370075383,3.0,2.3384747132645827,3.6769552621700474,94.09433962264151,20210.0,PV+/PNN+,77.31750000000001,9.92187978661609,122.94750000000002,12.511659319463842
11,171.64489795918368,28.706122448979592,103.51250000000002,11.480252975191728,10350.0,True,False,-1,9.907716446627537,2,4.953858223313769,4,0,1.0154721611470405,2.0,2.414325602172158,2.906888370749727,84.6875,6349.0,PV-/PNN+,0.0,0.0,103.51250000000002,11.480252975191728
12,172.66666666666666,428.9516129032258,78.58500000000001,10.002876067562408,15913.0,True,True,54,33.06553749530772,6,5.5109229158846205,3,3,1.4997242765854037,2.0,3.4074381998078427,7.800000000000001,93.79069767441861,18148.0,PV+/PNN+,78.58500000000001,10.002876067562408,85.34500000000001,10.424232774905905
13,184.703125,373.8645833333333,81.12,10.162932247580734,63424.0,True,True,64,72.65020920410531,12,6.054184100342109,6,6,1.1268694708135134,2.0,2.2826938975139375,4.687216658103186,92.4059405940594,44091.0,PV+/PNN+,81.12,10.162932247580734,197.73000000000002,15.866872886000056
14,180.30519480519482,60.18181818181818,65.06500000000001,9.101831188183693,24688.0,True,True,57,39.34249275747777,6,6.5570821262462955,6,2,1.2384793701220507,3.0,2.6170577707961797,8.221921916437788,88.30188679245283,23956.0,PV+/PNN+,65.06500000000001,9.101831188183693,122.1025,12.468589796405414
15,191.6195286195286,265.1212121212121,125.48250000000002,12.639987388135719,55845.0,True,True,72,80.92335854398792,16,5.057709908999245,8,8,1.0752397736239028,2.0,2.3677624309641625,5.2,86.2090909090909,42313.0,PV+/PNN+,125.48250000000002,12.639987388135719,234.06500000000003,17.26327935354219
16,192.8217054263566,38.13953488372093,54.502500000000005,8.33035043001963,18774.0,True,True,80,40.75401512639276,8,5.094251890799095,4,4,1.0831755288466138,2.0,2.3079701542022795,4.110960958218894,85.74074074074075,18533.0,PV+/PNN+,54.502500000000005,8.33035043001963,98.86500000000001,11.219573413915606
17,183.44078947368422,138.76315789473685,64.22000000000001,9.042535239792663,10480.0,True,True,63,14.234671708797585,2,7.117335854398792,4,0,1.3323858085871998,2.0,1.850514233099515,2.906888370749727,80.0,7556.0,PV+/PNN+,64.22000000000001,9.042535239792663,79.00750000000001,10.029729474450614
18,188.02083333333334,219.52777777777777,60.84,8.801357503344999,9563.0,True,True,70,15.915432893255074,1,15.915432893255074,2,0,1.935731457317289,1.0,1.4501700227973955,2.6,79.52173913043478,7168.0,PV+/PNN+,60.84,8.801357503344999,79.00750000000001,10.029729474450614
19,184.93243243243242,433.05405405405406,31.265000000000004,6.309345002941657,4013.0,True,False,-1,4.169238815542512,1,4.169238815542512,2,0,1.054490214014425,1.0,1.9460458948578288,3.6769552621700474,78.0,2937.0,PV-/PNN+,0.0,0.0,31.265000000000004,6.309345002941657
20,180.30519480519482,60.18181818181818,65.06500000000001,9.101831188183693,34823.0,True,True,57,45.954015126392754,14,3.2824296518851965,7,7,1.4616484128973635,2.0,2.58019721019382,9.900505037623082,89.63492063492063,27853.0,PV+/PNN+,65.06500000000001,9.101831188183693,134.7775,13.099772621711548
21,199.91803278688525,333.4918032786885,77.31750000000001,9.92187978661609,29561.0,True,True,86,55.480970388562795,9,6.164552265395866,6,4,1.071760133872809,2.25,2.0322379467251186,3.9000000000000004,76.09210526315789,27673.0,PV+/PNN+,77.31750000000001,9.92187978661609,144.91750000000002,13.583618506280201
22,202.26315789473685,100.27067669172932,56.1925,8.458517193783473,6321.0,True,True,92,37.838582233137686,7,5.405511747591098,5,3,1.192453095558912,2.3333333333333335,2.6757213317319817,4.687216658103186,78.35849056603773,18197.0,PV+/PNN+,56.1925,8.458517193783473,56.1925,8.458517193783473
23,203.14070351758795,350.4673366834171,84.07750000000001,10.346535546861599,9585.0,True,False,-1,28.46934341759517,5,5.6938686835190335,4,2,2.2966369836067053,2.5,2.10657785036305,4.110960958218894,74.23076923076923,12074.0,PV-/PNN+,0.0,0.0,84.07750000000001,10.346535546861599
24,210.19396551724137,555.2543103448276,98.02000000000001,11.17152362817806,24356.0,True,True,101,45.7309703885628,5,9.146194077712561,1,3,1.4428696075427958,1.6666666666666667,2.675743604504381,7.580237463298891,100.7457627118644,24193.0,PV+/PNN+,98.02000000000001,11.17152362817806,120.83500000000001,12.403705107268287
